,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
76,102,BLUE JAY WAY,The Beatles,Magical Mystery Tour,235066,4,1967,50,0.294,0.40700000000000003,0,0.7879999999999999,1,0.0308,0.0258,0.00021899999999999998,0.0852,0.0378,101.052,3.0,BLUE JAY WAY,Harrison,Harrison
77,103,YOUR MOTHER SHOULD KNOW,The Beatles,Magical Mystery Tour,148413,5,1967,54,0.698,0.293,0,0.306,1,0.0332,0.784,0.0106,0.0936,0.7240000000000001,117.613,4.0,YOUR MOTHER SHOULD KNOW,McCartney,McCartney
78,104,I AM THE WALRUS,The Beatles,Magical Mystery Tour,275866,6,1967,64,0.401,0.556,2,0.281,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,5.0,I AM THE WALRUS,Lennon,Lennon
79,105,"HELLO, GOODBYE",The Beatles,Magical Mystery Tour,208840,7,1967,65,0.479,0.733,0,0.653,1,0.0256,0.306,2.4e-05,0.414,0.8059999999999999,99.307,6.0,"HELLO, GOODBYE",McCartney,McCartney
80,106,STRAWBERRY FIELDS FOREVER,The Beatles,Magical Mystery Tour,247320,8,1967,70,0.39,0.502,10,0.629,1,0.17800000000000002,0.336,0.000138,0.0713,0.289,97.87100000000001,7.0,STRAWBERRY FIELDS FOREVER,Lennon,Lennon
81,107,PENNY LANE,The Beatles,Magical Mystery Tour,180893,9,1967,65,0.6509999999999999,0.488,9,0.281,1,0.0316,0.212,0.026000000000000002,0.136,0.49,113.038,8.0,PENNY LANE,McCartney,McCartney
82,108,"BABY, YOU'RE A RICH MAN",The Beatles,Magical Mystery Tour,181306,10,1967,57,0.619,0.625,7,0.396,1,0.036000000000000004,0.0119,1.05e-06,0.152,0.467,96.751,,,,
83,109,ALL YOU NEED IS LOVE,The Beatles,Magical Mystery Tour,230386,11,1967,66,0.4,0.48,7,0.675,1,0.0295,0.34600000000000003,3.1e-05,0.155,0.653,103.436,10.0,ALL YOU NEED IS LOVE,Lennon,Lennon
84,109,ALL YOU NEED IS LOVE,The Beatles,Magical Mystery Tour,230386,11,1967,66,0.4,0.48,7,0.675,1,0.0295,0.34600000000000003,3.1e-05,0.155,0.653,103.436,5.0,ALL YOU NEED IS LOVE,Lennon,Lennon
85,110,SGT. PEPPER'S LONELY HEARTS CLUB BAND,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,122893,1,1967,64,0.451,0.6729999999999999,7,0.62,1,0.0734,0.0857,0.00225,0.797,0.583,95.51299999999999,,,,
