,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
118,When I'm Sixty Four - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),157666,9,1967-06-01,65,0.704,0.241,1,1,0.0476,0.625,2.8e-05,0.0868,0.661,140.411
119,Lovely Rita - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),162093,10,1967-06-01,55,0.61,0.471,8,0,0.0261,0.0634,0.0,0.118,0.63,87.379
120,Good Morning Good Morning - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),161226,11,1967-06-01,51,0.542,0.618,2,1,0.139,0.0858,0.0,0.772,0.93,121.849
121,Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),79066,12,1967-06-01,52,0.653,0.889,0,1,0.0453,0.0061,0.589,0.892,0.879,118.773
122,A Day In The Life - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),337413,13,1967-06-01,66,0.364,0.457,4,0,0.0675,0.29,0.000106,0.922,0.175,163.219
123,Taxman - Remastered 2009,The Beatles,Revolver (Remastered),158853,1,1966-08-05,62,0.469,0.596,7,1,0.0749,0.0101,0.0,0.321,0.783,133.586
124,Eleanor Rigby - Remastered 2009,The Beatles,Revolver (Remastered),126533,2,1966-08-05,70,0.581,0.28,4,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831
125,I'm Only Sleeping - Remastered 2009,The Beatles,Revolver (Remastered),180320,3,1966-08-05,62,0.494,0.47,8,0,0.0301,0.21,0.0,0.28,0.698,103.477
126,Love You To - Remastered 2009,The Beatles,Revolver (Remastered),179826,4,1966-08-05,53,0.391,0.593,5,1,0.0413,0.7,0.000249,0.0829,0.707,123.986
127,"Here, There And Everywhere - Remastered 2009",The Beatles,Revolver (Remastered),144880,5,1966-08-05,62,0.29,0.247,7,1,0.0383,0.921,0.00565,0.0917,0.36,165.361
128,Yellow Submarine - Remastered 2009,The Beatles,Revolver (Remastered),158880,6,1966-08-05,64,0.604,0.549,1,1,0.0389,0.531,0.0,0.438,0.696,111.398
129,She Said She Said - Remastered 2009,The Beatles,Revolver (Remastered),156040,7,1966-08-05,55,0.329,0.678,3,1,0.0344,0.103,0.168,0.843,0.672,106.476
130,Good Day Sunshine - Remastered 2009,The Beatles,Revolver (Remastered),129293,8,1966-08-05,61,0.77,0.496,11,1,0.0468,0.719,0.0,0.123,0.571,117.331
131,And Your Bird Can Sing - Remastered 2009,The Beatles,Revolver (Remastered),120493,9,1966-08-05,60,0.555,0.65,4,1,0.0282,0.0067,0.0491,0.236,0.966,132.59
132,For No One - Remastered 2009,The Beatles,Revolver (Remastered),119813,10,1966-08-05,63,0.483,0.351,1,0,0.0278,0.783,0.0,0.115,0.713,81.208
133,Doctor Robert - Remastered 2009,The Beatles,Revolver (Remastered),134266,11,1966-08-05,52,0.394,0.64,4,1,0.0488,0.164,0.139,0.153,0.574,164.626
134,I Want To Tell You - Remastered 2009,The Beatles,Revolver (Remastered),147973,12,1966-08-05,52,0.493,0.525,9,1,0.0315,0.182,4.4e-06,0.148,0.449,127.492
