,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
134,Sunshine Sometime (Earliest Mix) - 2012 Master,Paul McCartney,Ram (Archive Collection),202173,8,1971-05-17,36,0.726,0.296,2,1,0.0475,0.649,0.903,0.344,0.514,103.012
135,The Lovely Linda - Remastered 2011,Paul McCartney,McCartney,44413,1,1970-04-17,30,0.561,0.272,5,1,0.0325,0.323,0.0113,0.24,0.928,119.241
136,That Would Be Something - Remastered 2011,Paul McCartney,McCartney,158613,2,1970-04-17,30,0.54,0.371,5,1,0.177,0.677,0.0163,0.0815,0.344,166.575
137,Valentine Day - Remastered 2011,Paul McCartney,McCartney,101080,3,1970-04-17,27,0.616,0.483,4,0,0.0732,0.774,0.787,0.137,0.964,118.2
138,Every Night - Remastered 2011,Paul McCartney,McCartney,153413,4,1970-04-17,40,0.605,0.404,4,1,0.0256,0.588,0.00143,0.104,0.867,94.285
139,Hot As Sun / Glasses - Remastered 2011,Paul McCartney,McCartney,127146,5,1970-04-17,27,0.288,0.411,7,1,0.039,0.226,0.8,0.0779,0.226,193.309
140,Junk - Remastered 2011,Paul McCartney,McCartney,115293,6,1970-04-17,53,0.712,0.0862,9,1,0.0325,0.814,0.000259,0.191,0.315,90.666
141,Man We Was Lonely - Remastered 2011,Paul McCartney,McCartney,178160,7,1970-04-17,29,0.563,0.317,9,1,0.025,0.599,0.0118,0.194,0.598,89.018
142,Oo You - Remastered 2011,Paul McCartney,McCartney,169733,8,1970-04-17,28,0.715,0.742,0,1,0.0435,0.444,0.00365,0.0791,0.818,86.263
143,Momma Miss America - Remastered 2011,Paul McCartney,McCartney,245693,9,1970-04-17,27,0.425,0.596,7,1,0.0316,0.553,0.755,0.141,0.589,94.157
144,Teddy Boy - Remastered 2011,Paul McCartney,McCartney,144293,10,1970-04-17,29,0.587,0.322,2,1,0.0361,0.644,0.0175,0.0865,0.411,81.431
145,Singalong Junk - Remastered 2011,Paul McCartney,McCartney,156280,11,1970-04-17,27,0.605,0.113,2,1,0.0317,0.904,0.481,0.112,0.441,88.407
146,Maybe I’m Amazed - Remastered 2011,Paul McCartney,McCartney,229826,12,1970-04-17,38,0.471,0.494,7,1,0.0312,0.387,0.0944,0.617,0.373,79.255
147,Kreen-Akrore - Remastered 2011,Paul McCartney,McCartney,255866,13,1970-04-17,24,0.639,0.527,3,1,0.118,0.0307,0.835,0.143,0.185,131.898
148,Reception - Remastered 1993,Wings,Back To The Egg,67626,1,1979-06-06,35,0.738,0.434,2,1,0.0495,0.171,0.339,0.614,0.936,101.227
149,Getting Closer - Remastered 1993,Wings,Back To The Egg,201933,2,1979-06-06,39,0.546,0.835,9,1,0.0538,0.00179,6.49e-05,0.223,0.911,131.809
150,We're Open Tonight - Remastered 1993,Wings,Back To The Egg,88266,3,1979-06-06,29,0.455,0.308,2,1,0.0316,0.666,0.000115,0.108,0.741,173.731
151,Spin It On - Remastered 1993,Wings,Back To The Egg,132240,4,1979-06-06,32,0.544,0.786,2,1,0.0738,0.000213,0.000241,0.19,0.933,129.266
152,Again And Again And Again - Remastered 1993,Wings,Back To The Egg,214040,5,1979-06-06,28,0.631,0.64,0,1,0.0325,0.038,0.0,0.558,0.907,117.35
153,"Old Siam, Sir - Remastered 1993",Wings,Back To The Egg,250666,6,1979-06-06,38,0.637,0.501,9,1,0.0282,0.00336,0.0145,0.103,0.82,74.673
154,Arrow Through Me - Remastered 1993,Wings,Back To The Egg,216693,7,1979-06-06,58,0.874,0.364,2,1,0.0983,0.218,0.0263,0.101,0.675,86.004
155,Rockestra Theme - Remastered 1993,Wings,Back To The Egg,155000,8,1979-06-06,31,0.423,0.618,5,1,0.0383,0.000566,0.775,0.0633,0.389,138.155
156,To You - Remastered 1993,Wings,Back To The Egg,192266,9,1979-06-06,29,0.546,0.803,7,1,0.0522,0.0113,0.0128,0.127,0.678,134.211
157,After The Ball/Million Miles - Remastered 1993,Wings,Back To The Egg,239493,10,1979-06-06,28,0.401,0.101,7,1,0.0296,0.297,8.85e-06,0.11,0.327,73.36
158,Winter Rose/Love Awake - Remastered 1993,Wings,Back To The Egg,297800,11,1979-06-06,27,0.314,0.198,2,1,0.0319,0.41,6.83e-06,0.108,0.291,171.956
159,The Broadcast - Remastered 1993,Wings,Back To The Egg,89893,12,1979-06-06,24,0.412,0.215,1,1,0.0651,0.927,0.017,0.127,0.215,79.902
160,So Glad To See You Here - Remastered 1993,Wings,Back To The Egg,199426,13,1979-06-06,27,0.43,0.786,0,1,0.0315,0.00913,1.25e-06,0.161,0.578,157.25
