,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Rocks Off,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),271933,1,1972-05-12,54,0.485,0.943,4,0.464,1,0.0416,0.0639,0.179,0.144,0.889,141.982
1,Rip This Joint,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),143293,2,1972-05-12,46,0.548,0.952,2,0.809,1,0.0422,0.118,0.837,0.301,0.906,98.04
2,Shake Your Hips,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),179000,3,1972-05-12,43,0.374,0.787,2,0.043,1,0.0617,0.69,0.831,0.203,0.763,180.496
3,Casino Boogie,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),214466,4,1972-05-12,42,0.53,0.691,2,0.64,1,0.0307,0.374,0.111,0.29,0.581,117.046
4,Tumbling Dice,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),226333,5,1972-05-12,61,0.615,0.91,11,0.714,1,0.0347,0.5,0.511,0.281,0.77,111.013
5,Sweet Virginia,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),266560,6,1972-05-12,57,0.477,0.74,9,0.453,1,0.0446,0.502,1.31e-06,0.263,0.56,107.384
6,Torn And Frayed,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),257240,7,1972-05-12,43,0.454,0.766,2,0.962,1,0.0272,0.664,0.904,0.594,0.776,90.677
7,Sweet Black Angel,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),177666,8,1972-05-12,41,0.498,0.728,7,0.795,1,0.0373,0.65,0.000172,0.114,0.609,174.33
8,Loving Cup,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),264266,9,1972-05-12,43,0.471,0.843,7,0.587,1,0.041,0.636,0.0402,0.773,0.632,156.695
9,Happy,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),184626,10,1972-05-12,43,0.555,0.897,4,0.63,1,0.0293,0.361,0.94,0.536,0.965,131.712
10,Turd On The Run,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),157173,11,1972-05-12,39,0.517,0.781,2,0.046,1,0.0405,0.65,0.977,0.341,0.742,119.364
11,Ventilator Blues,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),204573,12,1972-05-12,44,0.618,0.678,0,0.787,1,0.0316,0.6,0.723,0.501,0.79,133.453
12,I Just Want To See His Face,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),172626,13,1972-05-12,38,0.654,0.542,0,0.506,1,0.0419,0.689,0.584,0.204,0.877,78.015
13,Let It Loose,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),317173,14,1972-05-12,43,0.352,0.656,5,0.62,1,0.0289,0.869,0.8,0.221,0.363,76.121
14,All Down The Line,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),229493,15,1972-05-12,43,0.519,0.973,7,1.0,1,0.0562,0.39,0.978,0.784,0.822,140.221
15,Stop Breaking Down,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),274773,16,1972-05-12,40,0.522,0.891,9,0.956,1,0.0322,0.509,0.908,0.111,0.91,104.411
16,Shine A Light,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),256826,17,1972-05-12,54,0.365,0.839,0,0.722,1,0.0691,0.522,0.000469,0.292,0.575,81.772
17,Soul Survivor,The Rolling Stones,Exile On Main Street (2010 Re-Mastered),228840,18,1972-05-12,38,0.337,0.919,5,0.689,1,0.0431,0.183,0.186,0.286,0.525,114.748
18,Brown Sugar - 2009 Remaster,The Rolling Stones,Sticky Fingers (Remastered),228666,1,1971-04-23,68,0.633,0.934,0,0.841,1,0.0344,0.219,0.00021,0.0592,0.963,128.606
19,Sway - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),232533,2,1971-04-23,48,0.33,0.895,5,0.763,1,0.0399,0.221,0.737,0.408,0.54,144.945
20,Wild Horses - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),341773,3,1971-04-23,70,0.432,0.389,7,0.853,1,0.0255,0.687,0.0107,0.0788,0.158,139.506
21,Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),436000,4,1971-04-23,64,0.545,0.757,0,0.488,1,0.0396,0.408,0.045,0.16,0.714,152.217
22,You Gotta Move - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),152106,5,1971-04-23,44,0.439,0.422,0,1.0,1,0.0312,0.724,0.203,0.152,0.564,70.283
23,Bitch - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),217093,6,1971-04-23,53,0.655,0.972,7,0.581,1,0.0362,0.257,0.297,0.165,0.973,135.922
24,I Got The Blues - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),233693,7,1971-04-23,46,0.442,0.382,7,0.776,1,0.0317,0.467,0.0216,0.121,0.199,119.947
25,Sister Morphine - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),331626,8,1971-04-23,46,0.395,0.579,9,0.748,0,0.0341,0.0943,0.0925,0.176,0.218,90.443
26,Dead Flowers - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),244533,9,1971-04-23,58,0.54,0.862,2,0.857,1,0.0284,0.33,1.7e-05,0.156,0.931,130.34
27,Moonlight Mile - 2009 Mix,The Rolling Stones,Sticky Fingers (Remastered),357200,10,1971-04-23,55,0.417,0.5,7,0.69,1,0.0263,0.575,0.0883,0.102,0.241,130.531
28,Jumpin' Jack Flash - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),243133,1,1970-09-04,30,0.44,0.886,4,0.525,1,0.0498,0.0321,0.677,0.978,0.625,137.722
29,Carol - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),226480,2,1970-09-04,27,0.606,0.894,2,0.297,1,0.0396,0.248,0.604,0.989,0.911,138.056
30,Stray Cat Blues - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),227120,3,1970-09-04,26,0.333,0.745,7,0.524,1,0.0759,0.0332,0.278,0.705,0.527,167.045
31,Love In Vain - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),296346,4,1970-09-04,26,0.488,0.351,7,0.77,1,0.0292,0.4,0.261,0.935,0.191,80.2
32,"Midnight Rambler - Live From Madison Square Garden, New York/1969",The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),544386,5,1970-09-04,29,0.433,0.704,4,0.744,1,0.0774,0.259,0.346,0.98,0.487,134.759
33,Sympathy For The Devil - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),411866,6,1970-09-04,32,0.587,0.833,9,0.714,1,0.069,0.0167,0.588,0.839,0.748,112.586
34,Live With Me - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),182613,7,1970-09-04,24,0.533,0.863,2,0.763,1,0.0354,0.0139,0.0977,0.586,0.751,139.993
35,Little Queenie - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),273266,8,1970-09-04,25,0.495,0.811,9,0.852,1,0.0392,0.151,0.785,0.66,0.964,126.69
36,Honky Tonk Women - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),214293,9,1970-09-04,26,0.412,0.787,7,0.724,1,0.0505,0.0398,0.49,0.735,0.802,114.076
37,Street Fighting Man - Live,The Rolling Stones,Get Yer Ya-Ya's Out! (Remastered),244413,10,1970-09-04,24,0.273,0.866,11,0.772,1,0.0346,0.000129,0.784,0.962,0.513,134.906
38,Gimme Shelter,The Rolling Stones,Let It Bleed,270760,1,1969-12-05,33,0.633,0.649,1,0.494,0,0.0311,0.464,0.0363,0.17,0.457,118.629
39,Love In Vain,The Rolling Stones,Let It Bleed,259106,2,1969-12-05,13,0.378,0.467,10,0.703,1,0.0358,0.249,0.006,0.114,0.272,180.225
40,Country Honk,The Rolling Stones,Let It Bleed,187466,3,1969-12-05,13,0.53,0.763,7,0.921,1,0.0509,0.627,1.54e-05,0.276,0.872,120.97
41,Live With Me,The Rolling Stones,Let It Bleed,213133,4,1969-12-05,11,0.673,0.632,7,0.325,1,0.0335,0.00646,0.035,0.0808,0.942,129.591
42,Let It Bleed,The Rolling Stones,Let It Bleed,327866,5,1969-12-05,14,0.557,0.688,0,0.958,1,0.0291,0.434,0.00106,0.277,0.86,116.229
43,Midnight Rambler,The Rolling Stones,Let It Bleed,412760,6,1969-12-05,15,0.489,0.658,4,0.777,1,0.0866,0.776,3.42e-06,0.243,0.551,129.006
44,You Got The Silver,The Rolling Stones,Let It Bleed,170400,7,1969-12-05,12,0.477,0.378,5,0.571,1,0.0422,0.741,0.0237,0.139,0.551,139.45
45,Monkey Man,The Rolling Stones,Let It Bleed,251466,8,1969-12-05,14,0.414,0.772,6,0.957,1,0.035,0.517,0.0634,0.0849,0.533,102.113
46,You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,448760,9,1969-12-05,29,0.313,0.625,0,0.435,1,0.0651,0.652,6.4e-05,0.258,0.487,84.044
47,Sympathy For The Devil,The Rolling Stones,Beggars Banquet,377760,1,1968-12-06,47,0.658,0.675,9,0.756,1,0.242,0.604,0.0,0.0428,0.587,115.574
48,No Expectations,The Rolling Stones,Beggars Banquet,235933,2,1968-12-06,13,0.473,0.274,9,0.833,1,0.027,0.588,0.0124,0.125,0.281,92.424
49,Dear Doctor,The Rolling Stones,Beggars Banquet,201600,3,1968-12-06,8,0.597,0.449,9,0.371,1,0.0318,0.149,0.0,0.204,0.461,126.164
50,Parachute Woman,The Rolling Stones,Beggars Banquet,139933,4,1968-12-06,10,0.526,0.601,2,0.0,1,0.0435,0.438,0.259,0.099,0.858,113.666
51,Jigsaw Puzzle,The Rolling Stones,Beggars Banquet,365426,5,1968-12-06,9,0.4,0.645,4,0.807,1,0.0435,0.328,5.63e-06,0.0653,0.747,114.004
52,Street Fighting Man,The Rolling Stones,Beggars Banquet,194773,6,1968-12-06,21,0.563,0.756,0,0.791,1,0.0314,0.0117,0.00889,0.215,0.751,128.123
53,Prodigal Son,The Rolling Stones,Beggars Banquet,170573,7,1968-12-06,8,0.613,0.556,1,0.186,0,0.0575,0.544,0.00281,0.128,0.083,108.167
54,Stray Cat Blues,The Rolling Stones,Beggars Banquet,277133,8,1968-12-06,11,0.344,0.795,2,0.639,1,0.0476,0.0167,0.00592,0.0849,0.401,104.944
55,Factory Girl,The Rolling Stones,Beggars Banquet,128226,9,1968-12-06,7,0.481,0.408,2,0.765,1,0.0365,0.408,0.0,0.132,0.472,150.476
56,Salt Of The Earth,The Rolling Stones,Beggars Banquet,287466,10,1968-12-06,9,0.372,0.786,4,0.701,1,0.046,0.299,4.54e-06,0.282,0.379,97.394
57,Sing This All Together,The Rolling Stones,Their Satanic Majesties Request,227533,1,1967-12-08,7,0.582,0.721,0,0.852,1,0.0475,0.756,0.000888,0.5,0.549,121.929
58,Citadel,The Rolling Stones,Their Satanic Majesties Request,170826,2,1967-12-08,7,0.298,0.59,9,0.951,1,0.0396,0.0484,5.77e-05,0.0964,0.61,114.813
59,In Another Land,The Rolling Stones,Their Satanic Majesties Request,193573,3,1967-12-08,8,0.309,0.515,0,0.665,1,0.0373,0.528,0.000421,0.398,0.367,99.842
60,2000 Man,The Rolling Stones,Their Satanic Majesties Request,187706,4,1967-12-08,9,0.452,0.485,9,0.541,1,0.0445,0.0161,0.0597,0.442,0.52,122.318
61,Sing This All Together (See What Happens),The Rolling Stones,Their Satanic Majesties Request,513600,5,1967-12-08,5,0.486,0.829,8,0.659,1,0.0973,0.784,0.262,0.129,0.191,126.218
62,She's A Rainbow - Full Version / With Intro,The Rolling Stones,Their Satanic Majesties Request,275160,6,1967-12-08,21,0.458,0.798,10,0.875,1,0.042,0.488,0.0214,0.488,0.533,109.143
63,The Lantern,The Rolling Stones,Their Satanic Majesties Request,262906,7,1967-12-08,6,0.377,0.354,4,0.764,1,0.0326,0.566,0.00939,0.0831,0.263,98.194
64,Gomper,The Rolling Stones,Their Satanic Majesties Request,308840,8,1967-12-08,5,0.369,0.535,2,0.598,1,0.0359,0.748,0.609,0.158,0.263,127.239
65,2000 Light Years From Home,The Rolling Stones,Their Satanic Majesties Request,284960,9,1967-12-08,11,0.325,0.63,4,0.0,0,0.0475,0.00256,0.00611,0.14,0.291,122.307
66,On With The Show,The Rolling Stones,Their Satanic Majesties Request,221226,10,1967-12-08,5,0.515,0.859,0,0.668,1,0.18,0.674,4.55e-06,0.389,0.65,114.361
67,Ruby Tuesday,The Rolling Stones,Flowers,196706,1,1967-06-26,19,0.509,0.553,0,0.693,1,0.0289,0.823,1.81e-06,0.216,0.502,104.48
68,"Have You Seen Your Mother, Baby, Standing In The Shadow? - Mono Version",The Rolling Stones,Flowers,154013,2,1967-06-26,15,0.387,0.84,7,0.992,1,0.0374,0.254,0.77,0.237,0.468,100.395
69,Let's Spend The Night Together,The Rolling Stones,Flowers,215693,3,1967-06-26,18,0.558,0.795,7,1.0,1,0.0521,0.678,0.0,0.238,0.562,140.823
70,Lady Jane - Stereo Version,The Rolling Stones,Flowers,187466,4,1967-06-26,10,0.603,0.303,7,0.987,1,0.0323,0.52,9.61e-05,0.0913,0.322,103.131
71,Out Of Time - Edit Version,The Rolling Stones,Flowers,221240,5,1967-06-26,15,0.663,0.709,11,0.485,0,0.0896,0.55,0.0,0.0856,0.61,125.503
72,My Girl,The Rolling Stones,Flowers,157933,6,1967-06-26,21,0.588,0.576,1,0.0,1,0.0372,0.687,0.114,0.312,0.752,110.272
73,Back Street Girl,The Rolling Stones,Flowers,206773,7,1967-06-26,7,0.521,0.246,7,1.0,1,0.0269,0.0172,0.0,0.0967,0.521,77.352
74,Please Go Home,The Rolling Stones,Flowers,197200,8,1967-06-26,5,0.491,0.696,9,0.762,1,0.0453,0.562,0.000476,0.156,0.75,112.003
75,Mother's Little Helper,The Rolling Stones,Flowers,166266,9,1967-06-26,14,0.6,0.619,4,0.643,0,0.0283,0.062,4.57e-05,0.323,0.716,101.106
76,Take It Or Leave It,The Rolling Stones,Flowers,166106,10,1967-06-26,5,0.645,0.533,5,0.916,0,0.0276,0.155,5.11e-05,0.284,0.781,104.389
77,Ride On Baby,The Rolling Stones,Flowers,172533,11,1967-06-26,6,0.555,0.663,7,0.675,1,0.0296,0.393,0.0,0.234,0.851,131.221
78,Sittin' On A Fence,The Rolling Stones,Flowers,182800,12,1967-06-26,7,0.63,0.454,1,1.0,1,0.0244,0.251,0.000112,0.124,0.672,101.591
79,Yesterday's Papers,The Rolling Stones,Between The Buttons,123666,1,1967-01-20,2,0.601,0.565,0,0.734,1,0.0279,0.148,0.0,0.246,0.259,139.798
80,My Obsession,The Rolling Stones,Between The Buttons,196666,2,1967-01-20,1,0.646,0.807,4,0.482,1,0.122,0.271,1.02e-06,0.0417,0.533,144.095
81,Back Street Girl,The Rolling Stones,Between The Buttons,206973,3,1967-01-20,2,0.412,0.242,7,1.0,1,0.0275,0.0189,0.0,0.0938,0.548,154.489
82,Connection,The Rolling Stones,Between The Buttons,127866,4,1967-01-20,3,0.65,0.679,0,0.989,1,0.0473,0.159,2.42e-05,0.207,0.567,86.585
83,She Smiled Sweetly,The Rolling Stones,Between The Buttons,164733,5,1967-01-20,3,0.337,0.3,0,0.763,1,0.132,0.091,0.00469,0.12,0.21,191.37
84,"Cool, Calm And Collected",The Rolling Stones,Between The Buttons,258200,6,1967-01-20,2,0.551,0.835,7,0.0,0,0.0477,0.346,0.0431,0.078,0.697,107.751
85,Please Go Home,The Rolling Stones,Between The Buttons,137533,7,1967-01-20,1,0.689,0.683,0,0.671,1,0.0372,0.433,1.06e-05,0.1,0.8,117.494
86,All Sold Out,The Rolling Stones,Between The Buttons,197306,8,1967-01-20,1,0.497,0.751,9,0.745,1,0.0444,0.568,0.000227,0.217,0.734,112.025
87,Who's Been Sleeping Here?,The Rolling Stones,Between The Buttons,235240,9,1967-01-20,2,0.536,0.617,5,0.883,1,0.0364,0.196,2.27e-06,0.118,0.644,115.908
88,Complicated,The Rolling Stones,Between The Buttons,194866,10,1967-01-20,3,0.633,0.683,1,0.324,0,0.0365,0.154,5.27e-05,0.105,0.83,146.852
89,Miss Amanda Jones,The Rolling Stones,Between The Buttons,166800,11,1967-01-20,2,0.392,0.826,10,0.73,1,0.0622,0.164,0.0,0.16,0.784,159.009
90,Something Happened To Me Yesterday,The Rolling Stones,Between The Buttons,295040,12,1967-01-20,2,0.641,0.525,7,0.548,1,0.108,0.763,0.0,0.53,0.565,143.883
91,"Paint It, Black",The Rolling Stones,Aftermath,202266,1,1966-04-15,79,0.464,0.795,1,0.555,1,0.0926,0.0493,0.00244,0.399,0.612,158.691
92,Stupid Girl,The Rolling Stones,Aftermath,175386,2,1966-04-15,41,0.694,0.802,11,0.249,1,0.0577,0.173,0.486,0.152,0.903,130.879
93,Lady Jane - Mono Version,The Rolling Stones,Aftermath,188080,3,1966-04-15,45,0.6,0.303,7,0.98,1,0.0318,0.516,0.000123,0.0832,0.31,102.998
94,Under My Thumb,The Rolling Stones,Aftermath,221533,4,1966-04-15,64,0.732,0.494,6,0.372,0,0.0406,0.299,0.205,0.0919,0.799,126.986
95,Doncha Bother Me,The Rolling Stones,Aftermath,161186,5,1966-04-15,38,0.544,0.812,9,0.303,1,0.0592,0.516,0.0031,0.11,0.783,123.269
96,Think,The Rolling Stones,Aftermath,189453,6,1966-04-15,37,0.612,0.603,1,0.295,0,0.0438,0.00507,0.134,0.18,0.606,133.038
97,Flight 505,The Rolling Stones,Aftermath,207093,7,1966-04-15,36,0.564,0.664,5,0.57,1,0.0487,0.0577,0.0154,0.213,0.868,134.068
98,High And Dry,The Rolling Stones,Aftermath,188000,8,1966-04-15,35,0.552,0.489,5,0.421,1,0.0417,0.0492,0.00725,0.169,0.754,114.052
99,It's Not Easy,The Rolling Stones,Aftermath,176266,9,1966-04-15,35,0.644,0.824,3,0.609,1,0.0512,0.686,3.06e-05,0.577,0.822,135.595
100,I Am Waiting,The Rolling Stones,Aftermath,190933,10,1966-04-15,41,0.63,0.396,0,0.764,1,0.039,0.572,2.65e-05,0.083,0.604,88.699
101,Going Home,The Rolling Stones,Aftermath,673266,11,1966-04-15,36,0.5,0.519,9,0.632,1,0.0531,0.0677,0.0759,0.223,0.472,130.685
102,She Said Yeah - Remastered 2002,The Rolling Stones,December’s Children (And Everybody’s),94013,1,1965-12-04,29,0.401,0.858,4,0.813,1,0.067,0.0289,0.031,0.0571,0.8,111.303
103,Talkin' About You - Remastered 2002,The Rolling Stones,December’s Children (And Everybody’s),150826,2,1965-12-04,25,0.667,0.643,9,0.966,1,0.0365,0.101,0.000433,0.0496,0.855,120.274
104,You Better Move On,The Rolling Stones,December’s Children (And Everybody’s),159493,3,1965-12-04,32,0.616,0.675,4,0.945,1,0.0289,0.452,0.0,0.221,0.757,115.881
105,Look What You've Done - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),135733,4,1965-12-04,24,0.567,0.566,7,0.905,1,0.0492,0.499,0.262,0.554,0.764,98.307
106,The Singer Not The Song - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),142186,5,1965-12-04,27,0.719,0.574,0,0.354,1,0.0298,0.0506,0.000337,0.0933,0.862,110.769
107,Route 66 - Live,The Rolling Stones,December’s Children (And Everybody’s),159280,6,1965-12-04,24,0.38,0.965,2,0.26,1,0.0744,0.0271,0.895,0.397,0.483,85.183
108,Get Off Of My Cloud - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),175080,7,1965-12-04,55,0.579,0.877,4,0.577,1,0.0488,0.0289,0.571,0.0656,0.9,126.336
109,I'm Free - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),143133,8,1965-12-04,34,0.638,0.462,0,1.0,1,0.031,0.209,0.0887,0.335,0.565,118.728
110,As Tears Go By - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),165213,9,1965-12-04,54,0.331,0.277,7,0.597,1,0.0295,0.723,0.00263,0.181,0.366,112.78
111,Gotta Get Away - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),126653,10,1965-12-04,26,0.669,0.572,9,0.801,1,0.037,0.0666,0.578,0.156,0.701,112.932
112,Blue Turns To Grey,The Rolling Stones,December’s Children (And Everybody’s),148813,11,1965-12-04,27,0.581,0.673,0,0.772,1,0.0282,0.2,0.0127,0.165,0.736,112.517
113,I'm Moving On - Live,The Rolling Stones,December’s Children (And Everybody’s),133720,12,1965-12-04,21,0.188,0.871,4,0.332,1,0.0573,0.00646,0.779,0.301,0.535,169.661
114,Everybody Needs Somebody To Love - Version 2 - short,The Rolling Stones,Now!,177866,1,1965-02-13,3,0.571,0.831,5,0.256,1,0.0949,0.16,1.85e-06,0.0937,0.581,174.385
115,Down Home Girl,The Rolling Stones,Now!,251733,2,1965-02-13,3,0.662,0.777,0,0.904,1,0.0269,0.633,0.679,0.0903,0.822,115.786
116,You Can't Catch Me,The Rolling Stones,Now!,219466,3,1965-02-13,3,0.648,0.904,0,0.837,1,0.0471,0.0624,0.00351,0.345,0.846,104.223
117,Heart Of Stone - Stereo Version / Remastered 2002,The Rolling Stones,Now!,169066,4,1965-02-13,13,0.378,0.586,0,0.337,1,0.0363,0.185,0.0193,0.0848,0.557,186.8
118,What A Shame - Mono Version,The Rolling Stones,Now!,185000,5,1965-02-13,3,0.638,0.518,7,0.699,1,0.0283,0.263,0.14,0.153,0.912,127.093
119,Mona (I Need You Baby),The Rolling Stones,Now!,214706,6,1965-02-13,3,0.694,0.646,1,0.828,1,0.132,0.0718,0.000177,0.0924,0.421,98.78
120,Down The Road Apiece,The Rolling Stones,Now!,175200,7,1965-02-13,3,0.333,0.725,2,0.551,1,0.0422,0.541,0.00162,0.0551,0.938,178.012
121,Off The Hook - Mono Version,The Rolling Stones,Now!,154266,8,1965-02-13,2,0.615,0.615,9,0.572,1,0.0293,0.155,8.46e-06,0.138,0.871,76.613
122,Pain In My Heart,The Rolling Stones,Now!,131533,9,1965-02-13,3,0.48,0.586,7,0.556,1,0.0398,0.565,0.77,0.124,0.758,177.038
123,Oh Baby (We Got A Good Thing Goin') - Remastered 2002,The Rolling Stones,Now!,128039,10,1965-02-13,2,0.637,0.756,4,0.585,1,0.0301,0.494,0.589,0.853,0.966,141.535
