,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
79,79,"HELLO, GOODBYE",The Beatles,Magical Mystery Tour,208840,7,1967,65,0.479,0.733,C,0.653,Major,0.0256,0.306,2.4e-05,0.414,0.8059999999999999,99.307,"HELLO, GOODBYE",McCartney,McCartney,McCartney
80,80,STRAWBERRY FIELDS FOREVER,The Beatles,Magical Mystery Tour,247320,8,1967,70,0.39,0.502,Bb,0.629,Major,0.17800000000000002,0.336,0.000138,0.0713,0.289,97.87100000000001,STRAWBERRY FIELDS FOREVER,Lennon,Lennon,Lennon
81,81,PENNY LANE,The Beatles,Magical Mystery Tour,180893,9,1967,65,0.6509999999999999,0.488,A,0.281,Major,0.0316,0.212,0.026000000000000002,0.136,0.49,113.038,PENNY LANE,McCartney,McCartney,McCartney
82,82,"BABY, YOU'RE A RICH MAN",The Beatles,Magical Mystery Tour,181306,10,1967,57,0.619,0.625,G,0.396,Major,0.036000000000000004,0.0119,1.05e-06,0.152,0.467,96.751,"BABY, YOU'RE A RICH MAN",Lennon/McCartney,Lennon/McCartney,Lennon/McCartney
83,83,ALL YOU NEED IS LOVE,The Beatles,Magical Mystery Tour,230386,11,1967,66,0.4,0.48,G,0.675,Major,0.0295,0.34600000000000003,3.1e-05,0.155,0.653,103.436,ALL YOU NEED IS LOVE,Lennon,Lennon,Lennon
84,85,SGT. PEPPER'S LONELY HEARTS CLUB BAND,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,122893,1,1967,64,0.451,0.6729999999999999,G,0.62,Major,0.0734,0.0857,0.00225,0.797,0.583,95.51299999999999,SGT. PEPPER'S LONELY HEARTS CLUB BAND,McCartney,McCartney,McCartney
85,86,WITH A LITTLE HELP FROM MY FRIENDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,164106,2,1967,66,0.705,0.515,E,0.33299999999999996,Major,0.0337,0.365,0.0,0.389,0.8029999999999999,112.035,WITH A LITTLE HELP FROM MY FRIENDS,McCartney,Starr,Starr
86,87,LUCY IN THE SKY WITH DIAMONDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,208466,3,1967,68,0.311,0.325,D,1.0,Major,0.0283,0.0469,0.0,0.139,0.6679999999999999,65.09,LUCY IN THE SKY WITH DIAMONDS,Lennon,Lennon,Lennon
87,88,GETTING BETTER,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,168120,4,1967,58,0.632,0.47100000000000003,C,0.7440000000000001,Major,0.0348,0.313,5.08e-06,0.0712,0.764,121.67200000000001,GETTING BETTER,McCartney,McCartney,McCartney
88,89,FIXING A HOLE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,156826,5,1967,58,0.469,0.507,C,0.873,Minor,0.0451,0.382,0.0,0.0783,0.619,112.984,FIXING A HOLE,McCartney,McCartney,McCartney
89,90,SHE'S LEAVING HOME,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,215160,6,1967,61,0.381,0.214,E,0.22899999999999998,Major,0.0337,0.9440000000000001,0.0,0.106,0.39299999999999996,127.581,SHE'S LEAVING HOME,McCartney,McCartney,McCartney
90,91,BEING FOR THE BENEFIT OF MR. KITE!,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157533,7,1967,52,0.526,0.413,C,0.39899999999999997,Major,0.0446,0.33799999999999997,0.0,0.0992,0.71,111.874,BEING FOR THE BENEFIT OF MR. KITE!,Lennon,Lennon,Lennon
91,92,WITHIN YOU WITHOUT YOU,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,304666,8,1967,57,0.35200000000000004,0.479,F#,0.6890000000000001,Major,0.0338,0.33899999999999997,0.00035299999999999996,0.486,0.354,126.166,WITHIN YOU WITHOUT YOU,Harrison,Harrison,Harrison
92,93,WHEN I'M SIXTY FOUR,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157666,9,1967,64,0.7040000000000001,0.24100000000000002,Db,0.084,Major,0.0476,0.625,2.8000000000000003e-05,0.0868,0.6609999999999999,140.411,WHEN I'M SIXTY FOUR,McCartney,McCartney,McCartney
93,94,LOVELY RITA,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,162093,10,1967,54,0.61,0.47100000000000003,Ab,0.6859999999999999,Minor,0.0261,0.0634,0.0,0.11800000000000001,0.63,87.37899999999999,LOVELY RITA,McCartney,McCartney,McCartney
94,95,GOOD MORNING GOOD MORNING,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,161226,11,1967,49,0.542,0.618,D,0.755,Major,0.139,0.0858,0.0,0.772,0.93,121.84899999999999,GOOD MORNING GOOD MORNING,Lennon,Lennon,Lennon
